key,value,date
AP,150,20-Mar
CNN Money,42,20-Mar
Capital Cube,7,20-Mar
AP,14,21-Mar
CNN Money,33,21-Mar
Capital Cube,13,21-Mar
AP,0,22-Mar
CNN Money,0,22-Mar
Capital Cube,0,22-Mar
AP,0,23-Mar
CNN Money,0,23-Mar
Capital Cube,0,23-Mar
AP,231,24-Mar
CNN Money,33,24-Mar
Capital Cube,45,24-Mar
AP,150,25-Mar
CNN Money,39,25-Mar
Capital Cube,13,25-Mar
AP,336,26-Mar
CNN Money,32,26-Mar
Capital Cube,23,26-Mar
AP,254,27-Mar
CNN Money,29,27-Mar
Capital Cube,38,27-Mar
