date,AP,CNN Money,Capital Cube
20-Mar,150,42,7
21-Mar,14,33,13
22-Mar,0,0,0
23-Mar,147,33,45
24-Mar,231,33,0
25-Mar,150,39,13
26-Mar,336,32,23
27-Mar,254,29,38
28-Mar,0,3,0
29-Mar,0,3,0
30-Mar,0,33,14
31-Mar,328,34,28
